# g-dedup-quarantine log — TSV: timestamp	event	group_id	old_path	new_path	reason
# run start 2026-04-28T23:49:21.170Z dryRun=false maxMoves=Infinity
2026-04-28T23:49:21.863Z	MOVE	46	G:\Poze\1000012979.jpg	G:\Poze\.duplicates\1000012979.jpg	-
2026-04-28T23:49:21.869Z	KEEPER_MISSING	47	G:\Poze\IMG-20160825-WA0001.jpg	G:\Poze\WhatsApp-by-year\2016\IMG-20160825-WA0001.jpg	-
2026-04-28T23:49:21.877Z	MOVE	47	G:\Poze\1000014225.jpg	G:\Poze\.duplicates\1000014225.jpg	-
2026-04-28T23:49:21.884Z	SKIP	48	G:\Poze\IMG-20160727-WA0004.jpg	-	source-missing
2026-04-28T23:49:21.890Z	KEEPER_MISSING	49	G:\Poze\IMG-20160727-WA0003.jpg	G:\Poze\WhatsApp-by-year\2016\IMG-20160727-WA0003.jpg	-
2026-04-28T23:49:21.898Z	MOVE	49	G:\Poze\1000013144.jpg	G:\Poze\.duplicates\1000013144.jpg	-
2026-04-28T23:49:21.907Z	MOVE	50	G:\Poze\Browser\images (4).jpg	G:\Poze\.duplicates\Browser\images (4).jpg	-
2026-04-28T23:49:21.913Z	KEEPER_MISSING	51	G:\Poze\IMG-20160727-WA0000.jpg	G:\Poze\WhatsApp-by-year\2016\IMG-20160727-WA0000.jpg	-
2026-04-28T23:49:21.921Z	MOVE	51	G:\Poze\1000013391.jpg	G:\Poze\.duplicates\1000013391.jpg	-
2026-04-28T23:49:21.928Z	MOVE	52	G:\Poze\1000019956.jpg	G:\Poze\.duplicates\1000019956.jpg	-
2026-04-28T23:49:21.934Z	MOVE	53	G:\Poze\1000017430.jpg	G:\Poze\.duplicates\1000017430.jpg	-
2026-04-28T23:49:21.942Z	MOVE	54	G:\Poze\1000014296.jpg	G:\Poze\.duplicates\1000014296.jpg	-
2026-04-28T23:49:21.949Z	MOVE	54	G:\Poze\thumbnail.jpg	G:\Poze\.duplicates\thumbnail.jpg	-
2026-04-28T23:49:21.956Z	MOVE	55	G:\Poze\1000014962.jpg	G:\Poze\.duplicates\1000014962.jpg	-
2026-04-28T23:49:21.962Z	SKIP	56	G:\Poze\IMG-20211207-WA0019.jpeg	-	source-missing
2026-04-28T23:49:21.969Z	MOVE	56	G:\Poze\1000014752.jpg	G:\Poze\.duplicates\1000014752.jpg	-
2026-04-28T23:49:21.975Z	SKIP	57	G:\Poze\IMG-20220124-WA0002.jpeg	-	source-missing
2026-04-28T23:49:21.981Z	MOVE	57	G:\Poze\1000014971.jpg	G:\Poze\.duplicates\1000014971.jpg	-
2026-04-28T23:49:21.988Z	MOVE	58	G:\Poze\1000013867.jpg	G:\Poze\.duplicates\1000013867.jpg	-
2026-04-28T23:49:21.994Z	SKIP	59	G:\Poze\IMG-20230817-WA0000.jpg	-	source-missing
2026-04-28T23:49:22.002Z	MOVE	59	G:\Poze\1000052737.jpg	G:\Poze\.duplicates\1000052737.jpg	-
2026-04-28T23:49:22.008Z	KEEPER_MISSING	60	G:\Poze\IMG-20230816-WA0007.jpg	G:\Poze\WhatsApp-by-year\2023\IMG-20230816-WA0007.jpg	-
2026-04-28T23:49:22.015Z	MOVE	60	G:\Poze\1000014906.jpg	G:\Poze\.duplicates\1000014906.jpg	-
2026-04-28T23:49:22.021Z	KEEPER_MISSING	61	G:\Poze\IMG-20230816-WA0006.jpg	G:\Poze\WhatsApp-by-year\2023\IMG-20230816-WA0006.jpg	-
2026-04-28T23:49:22.028Z	MOVE	61	G:\Poze\1000014811.jpg	G:\Poze\.duplicates\1000014811.jpg	-
2026-04-28T23:49:22.034Z	KEEPER_MISSING	62	G:\Poze\IMG-20230816-WA0005.jpg	G:\Poze\WhatsApp-by-year\2023\IMG-20230816-WA0005.jpg	-
2026-04-28T23:49:22.041Z	MOVE	62	G:\Poze\1000014596.jpg	G:\Poze\.duplicates\1000014596.jpg	-
2026-04-28T23:49:22.047Z	KEEPER_MISSING	63	G:\Poze\IMG-20230816-WA0004.jpg	G:\Poze\WhatsApp-by-year\2023\IMG-20230816-WA0004.jpg	-
2026-04-28T23:49:22.054Z	MOVE	63	G:\Poze\1000014443.jpg	G:\Poze\.duplicates\1000014443.jpg	-
2026-04-28T23:49:22.060Z	KEEPER_MISSING	64	G:\Poze\IMG-20230816-WA0002.jpg	G:\Poze\WhatsApp-by-year\2023\IMG-20230816-WA0002.jpg	-
2026-04-28T23:49:22.067Z	MOVE	64	G:\Poze\1000015054.jpg	G:\Poze\.duplicates\1000015054.jpg	-
2026-04-28T23:49:22.074Z	KEEPER_MISSING	65	G:\Poze\IMG-20230816-WA0001.jpg	G:\Poze\WhatsApp-by-year\2023\IMG-20230816-WA0001.jpg	-
