# g-bulk-delete-quarantine log — TSV: timestamp	event	category	old_path	new_path	reason
# run start 2026-04-29T00:01:05.702Z dryRun=false maxMoves=Infinity
2026-04-29T00:01:06.290Z	MOVE	pattern:fb-photo-id	G:\Poze\1000012623_2.jpg	G:\Poze\.review-for-delete\1000012623_2.jpg	-
2026-04-29T00:01:06.295Z	MOVE	pattern:fb-photo-id	G:\Poze\1000012803_2.jpg	G:\Poze\.review-for-delete\1000012803_2.jpg	-
2026-04-29T00:01:06.304Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015117_2.jpg	G:\Poze\.review-for-delete\1000015117_2.jpg	-
2026-04-29T00:01:06.310Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015118_2.jpg	G:\Poze\.review-for-delete\1000015118_2.jpg	-
2026-04-29T00:01:06.315Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015119_2.jpg	G:\Poze\.review-for-delete\1000015119_2.jpg	-
2026-04-29T00:01:06.321Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015120_2.jpg	G:\Poze\.review-for-delete\1000015120_2.jpg	-
2026-04-29T00:01:06.326Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015121_2.jpg	G:\Poze\.review-for-delete\1000015121_2.jpg	-
2026-04-29T00:01:06.330Z	SKIP	pattern:fb-photo-id	G:\Poze\1000015122_2.jpg	-	source-missing
2026-04-29T00:01:06.336Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015123_2.jpg	G:\Poze\.review-for-delete\1000015123_2.jpg	-
2026-04-29T00:01:06.341Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015124_2.jpg	G:\Poze\.review-for-delete\1000015124_2.jpg	-
2026-04-29T00:01:06.346Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015125_2.jpg	G:\Poze\.review-for-delete\1000015125_2.jpg	-
2026-04-29T00:01:06.351Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015126_2.jpg	G:\Poze\.review-for-delete\1000015126_2.jpg	-
2026-04-29T00:01:06.357Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015127_2.jpg	G:\Poze\.review-for-delete\1000015127_2.jpg	-
2026-04-29T00:01:06.362Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015128_2.jpg	G:\Poze\.review-for-delete\1000015128_2.jpg	-
2026-04-29T00:01:06.367Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015129_2.jpg	G:\Poze\.review-for-delete\1000015129_2.jpg	-
2026-04-29T00:01:06.372Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015130_2.jpg	G:\Poze\.review-for-delete\1000015130_2.jpg	-
2026-04-29T00:01:06.378Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015131_2.jpg	G:\Poze\.review-for-delete\1000015131_2.jpg	-
2026-04-29T00:01:06.382Z	SKIP	pattern:fb-photo-id	G:\Poze\1000015132_2.jpg	-	source-missing
2026-04-29T00:01:06.387Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015133_2.jpg	G:\Poze\.review-for-delete\1000015133_2.jpg	-
2026-04-29T00:01:06.393Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015134_2.jpg	G:\Poze\.review-for-delete\1000015134_2.jpg	-
2026-04-29T00:01:06.398Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015135_2.jpg	G:\Poze\.review-for-delete\1000015135_2.jpg	-
2026-04-29T00:01:06.404Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015136_2.jpg	G:\Poze\.review-for-delete\1000015136_2.jpg	-
2026-04-29T00:01:06.408Z	SKIP	pattern:fb-photo-id	G:\Poze\1000015137_2.jpg	-	source-missing
2026-04-29T00:01:06.413Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015138_2.jpg	G:\Poze\.review-for-delete\1000015138_2.jpg	-
2026-04-29T00:01:06.419Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015139_2.jpg	G:\Poze\.review-for-delete\1000015139_2.jpg	-
2026-04-29T00:01:06.424Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015140_2.jpg	G:\Poze\.review-for-delete\1000015140_2.jpg	-
2026-04-29T00:01:06.430Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015141_2.jpg	G:\Poze\.review-for-delete\1000015141_2.jpg	-
2026-04-29T00:01:06.435Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015142_2.jpg	G:\Poze\.review-for-delete\1000015142_2.jpg	-
2026-04-29T00:01:06.441Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015143_2.jpg	G:\Poze\.review-for-delete\1000015143_2.jpg	-
2026-04-29T00:01:06.450Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015144_2.jpg	G:\Poze\.review-for-delete\1000015144_2.jpg	-
2026-04-29T00:01:06.456Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015145_2.jpg	G:\Poze\.review-for-delete\1000015145_2.jpg	-
2026-04-29T00:01:06.461Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015146_2.jpg	G:\Poze\.review-for-delete\1000015146_2.jpg	-
2026-04-29T00:01:06.467Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015147_2.jpg	G:\Poze\.review-for-delete\1000015147_2.jpg	-
2026-04-29T00:01:06.473Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015148_2.jpg	G:\Poze\.review-for-delete\1000015148_2.jpg	-
2026-04-29T00:01:06.478Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015149_2.jpg	G:\Poze\.review-for-delete\1000015149_2.jpg	-
2026-04-29T00:01:06.483Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015150_2.jpg	G:\Poze\.review-for-delete\1000015150_2.jpg	-
2026-04-29T00:01:06.488Z	SKIP	pattern:fb-photo-id	G:\Poze\1000015151_2.jpg	-	source-missing
2026-04-29T00:01:06.493Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015152_2.jpg	G:\Poze\.review-for-delete\1000015152_2.jpg	-
2026-04-29T00:01:06.499Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015153_2.jpg	G:\Poze\.review-for-delete\1000015153_2.jpg	-
2026-04-29T00:01:06.503Z	SKIP	pattern:fb-photo-id	G:\Poze\1000015154_2.jpg	-	source-missing
2026-04-29T00:01:06.508Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015155_2.jpg	G:\Poze\.review-for-delete\1000015155_2.jpg	-
2026-04-29T00:01:06.514Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015156_2.jpg	G:\Poze\.review-for-delete\1000015156_2.jpg	-
2026-04-29T00:01:06.520Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015157_2.jpg	G:\Poze\.review-for-delete\1000015157_2.jpg	-
