# g-poze-huawei-reorg log — TSV: timestamp	old_path	new_path	filename	year	detection
# run start 2026-04-29T06:26:50.856Z dryRun=false
2026-04-29T06:26:51.757Z	G:\Poze\Poze Huawei\IMG_20170315_085011.jpg	G:\Poze\2017\IMG_20170315_085011.jpg	IMG_20170315_085011.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.770Z	G:\Poze\Poze Huawei\IMG_20170318_153939.jpg	G:\Poze\2017\IMG_20170318_153939.jpg	IMG_20170318_153939.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.785Z	G:\Poze\Poze Huawei\IMG_20170318_153941.jpg	G:\Poze\2017\IMG_20170318_153941.jpg	IMG_20170318_153941.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.795Z	G:\Poze\Poze Huawei\IMG_20170318_153952.jpg	G:\Poze\2017\IMG_20170318_153952.jpg	IMG_20170318_153952.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.804Z	G:\Poze\Poze Huawei\IMG_20170318_154035.jpg	G:\Poze\2017\IMG_20170318_154035.jpg	IMG_20170318_154035.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.818Z	G:\Poze\Poze Huawei\IMG_20170318_154037.jpg	G:\Poze\2017\IMG_20170318_154037.jpg	IMG_20170318_154037.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.829Z	G:\Poze\Poze Huawei\IMG_20170318_154039.jpg	G:\Poze\2017\IMG_20170318_154039.jpg	IMG_20170318_154039.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.843Z	G:\Poze\Poze Huawei\IMG_20170330_004850.jpg	G:\Poze\2017\IMG_20170330_004850.jpg	IMG_20170330_004850.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.854Z	G:\Poze\Poze Huawei\IMG_20170331_095014.jpg	G:\Poze\2017\IMG_20170331_095014.jpg	IMG_20170331_095014.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.869Z	G:\Poze\Poze Huawei\IMG_20170331_095155.jpg	G:\Poze\2017\IMG_20170331_095155.jpg	IMG_20170331_095155.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.878Z	G:\Poze\Poze Huawei\IMG_20170331_095201.jpg	G:\Poze\2017\IMG_20170331_095201.jpg	IMG_20170331_095201.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.887Z	G:\Poze\Poze Huawei\IMG_20170412_141603.jpg	G:\Poze\2017\IMG_20170412_141603.jpg	IMG_20170412_141603.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.897Z	G:\Poze\Poze Huawei\IMG_20170412_141608.jpg	G:\Poze\2017\IMG_20170412_141608.jpg	IMG_20170412_141608.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.906Z	G:\Poze\Poze Huawei\IMG_20170412_141618.jpg	G:\Poze\2017\IMG_20170412_141618.jpg	IMG_20170412_141618.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.917Z	G:\Poze\Poze Huawei\IMG_20170412_141629.jpg	G:\Poze\2017\IMG_20170412_141629.jpg	IMG_20170412_141629.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.928Z	G:\Poze\Poze Huawei\IMG_20170412_141720.jpg	G:\Poze\2017\IMG_20170412_141720.jpg	IMG_20170412_141720.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.939Z	G:\Poze\Poze Huawei\IMG_20170412_141727.jpg	G:\Poze\2017\IMG_20170412_141727.jpg	IMG_20170412_141727.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.951Z	G:\Poze\Poze Huawei\IMG_20170416_174029.jpg	G:\Poze\2017\IMG_20170416_174029.jpg	IMG_20170416_174029.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.964Z	G:\Poze\Poze Huawei\IMG_20170420_220027.jpg	G:\Poze\2017\IMG_20170420_220027.jpg	IMG_20170420_220027.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.977Z	G:\Poze\Poze Huawei\IMG_20170420_220032.jpg	G:\Poze\2017\IMG_20170420_220032.jpg	IMG_20170420_220032.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.990Z	G:\Poze\Poze Huawei\IMG_20170420_220820.jpg	G:\Poze\2017\IMG_20170420_220820.jpg	IMG_20170420_220820.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:52.003Z	G:\Poze\Poze Huawei\IMG_20170420_220824.jpg	G:\Poze\2017\IMG_20170420_220824.jpg	IMG_20170420_220824.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:52.014Z	G:\Poze\Poze Huawei\IMG_20170420_220825.jpg	G:\Poze\2017\IMG_20170420_220825.jpg	IMG_20170420_220825.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:52.024Z	G:\Poze\Poze Huawei\IMG_20170426_154635.jpg	G:\Poze\2017\IMG_20170426_154635.jpg	IMG_20170426_154635.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:52.033Z	G:\Poze\Poze Huawei\IMG_20170429_150624.jpg	G:\Poze\2017\IMG_20170429_150624.jpg	IMG_20170429_150624.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:52.046Z	G:\Poze\Poze Huawei\IMG_20170502_150207.jpg	G:\Poze\2017\IMG_20170502_150207.jpg	IMG_20170502_150207.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:52.060Z	G:\Poze\Poze Huawei\IMG_20170502_150211.jpg	G:\Poze\2017\IMG_20170502_150211.jpg	IMG_20170502_150211.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:52.070Z	G:\Poze\Poze Huawei\IMG_20170517_181802.jpg	G:\Poze\2017\IMG_20170517_181802.jpg	IMG_20170517_181802.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:52.079Z	G:\Poze\Poze Huawei\IMG_20170517_181808.jpg	G:\Poze\2017\IMG_20170517_181808.jpg	IMG_20170517_181808.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:52.089Z	G:\Poze\Poze Huawei\IMG_20170517_181814.jpg	G:\Poze\2017\IMG_20170517_181814.jpg	IMG_20170517_181814.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:52.098Z	G:\Poze\Poze Huawei\IMG_20170517_181818.jpg	G:\Poze\2017\IMG_20170517_181818.jpg	IMG_20170517_181818.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:52.114Z	G:\Poze\Poze Huawei\IMG_20170517_183605.jpg	G:\Poze\2017\IMG_20170517_183605.jpg	IMG_20170517_183605.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:52.126Z	G:\Poze\Poze Huawei\IMG_20170517_183611.jpg	G:\Poze\2017\IMG_20170517_183611.jpg	IMG_20170517_183611.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:52.137Z	G:\Poze\Poze Huawei\IMG_20170517_183638.jpg	G:\Poze\2017\IMG_20170517_183638.jpg	IMG_20170517_183638.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:52.149Z	G:\Poze\Poze Huawei\IMG_20170518_220123.jpg	G:\Poze\2017\IMG_20170518_220123.jpg	IMG_20170518_220123.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:52.161Z	G:\Poze\Poze Huawei\IMG_20170604_133409.jpg	G:\Poze\2017\IMG_20170604_133409.jpg	IMG_20170604_133409.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:52.173Z	G:\Poze\Poze Huawei\IMG_20170625_201044.jpg	G:\Poze\2017\IMG_20170625_201044.jpg	IMG_20170625_201044.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:52.188Z	G:\Poze\Poze Huawei\IMG_20170625_201100.jpg	G:\Poze\2017\IMG_20170625_201100.jpg	IMG_20170625_201100.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:52.200Z	G:\Poze\Poze Huawei\IMG_20170625_201109.jpg	G:\Poze\2017\IMG_20170625_201109.jpg	IMG_20170625_201109.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:52.214Z	G:\Poze\Poze Huawei\IMG_20170625_201119.jpg	G:\Poze\2017\IMG_20170625_201119.jpg	IMG_20170625_201119.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:52.227Z	G:\Poze\Poze Huawei\IMG_20170727_182631.jpg	G:\Poze\2017\IMG_20170727_182631.jpg	IMG_20170727_182631.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:52.239Z	G:\Poze\Poze Huawei\IMG_20170727_182634.jpg	G:\Poze\2017\IMG_20170727_182634.jpg	IMG_20170727_182634.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
