# g-master-dedup log — TSV: timestamp	event	group_id	old_path	new_path	reason
# run start 2026-04-29T08:48:04.906Z dryRun=false maxMoves=Infinity threshold=0
2026-04-29T08:49:08.194Z	MOVE	1849	G:\Poze\ic_launcher_34.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_34.png	-
2026-04-29T08:49:08.195Z	MOVE	1849	G:\Poze\ic_launcher_39.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_39.png	-
2026-04-29T08:49:08.196Z	MOVE	1849	G:\Poze\ic_launcher_44.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_44.png	-
2026-04-29T08:49:08.197Z	MOVE	1849	G:\Poze\ic_launcher_55.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_55.png	-
2026-04-29T08:49:08.198Z	MOVE	1849	G:\Poze\ic_launcher_60.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_60.png	-
2026-04-29T08:49:08.199Z	MOVE	1849	G:\Poze\ic_launcher_65.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_65.png	-
2026-04-29T08:49:08.200Z	MOVE	1849	G:\Poze\ic_launcher_70.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_70.png	-
2026-04-29T08:49:08.201Z	MOVE	1849	G:\Poze\ic_launcher_75.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_75.png	-
2026-04-29T08:49:08.202Z	MOVE	1849	G:\Poze\ic_launcher_90.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_90.png	-
2026-04-29T08:49:08.203Z	MOVE	1849	G:\Poze\ic_launcher_95.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_95.png	-
2026-04-29T08:49:08.204Z	MOVE	1849	G:\Poze\ic_launcher_100.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_100.png	-
2026-04-29T08:49:08.205Z	MOVE	1849	G:\Poze\ic_launcher_105.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_105.png	-
2026-04-29T08:49:08.207Z	MOVE	1849	G:\Poze\ic_launcher_115.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_115.png	-
2026-04-29T08:49:08.208Z	MOVE	1849	G:\Poze\ic_launcher_120.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_120.png	-
2026-04-29T08:49:08.209Z	MOVE	1849	G:\Poze\ic_launcher_125.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_125.png	-
